Time between readings(sec): ,60
Duration of readings (mins): ,10
Date,Time,Data 1,Data 2
20.09.2022,10:40:39,23.93566372799515,22.70493627200485
20.09.2022,10:40:41,13.7368702746925,32.8063297253075
20.09.2022,10:40:43,13.523295908344672,32.727704091655326
20.09.2022,10:40:45,13.280117523372908,32.67868247662709
20.09.2022,10:40:47,12.90102215165686,32.668177848343134
20.09.2022,10:40:49,12.716408456689273,32.65799154331073
20.09.2022,10:40:51,12.430574896743344,32.65162510325665
20.09.2022,10:40:53,12.341451268133795,32.6433487318662
20.09.2022,10:40:55,12.259649042896058,32.62775095710394
20.09.2022,10:40:57,12.081401780474657,32.61119821952534
