Time between readings(sec): ,5
Duration of readings (mins): ,0.5
Date,Time,Carbon monoxide (arbitrary units)
20.09.2022,14:23:03,394.87
20.09.2022,14:23:08,489.74
20.09.2022,14:23:12,528.23
20.09.2022,14:23:17,556.94
20.09.2022,14:23:22,579.87
20.09.2022,14:23:27,597.15
