Time between readings(sec): ,7
Duration of readings (mins): ,0.5
Date,Time,Light (lux)
20.09.2022,14:46:57,52.01
20.09.2022,14:47:04,52.01
20.09.2022,14:47:10,52.01
20.09.2022,14:47:17,52.01
