Time between readings(sec): ,60
Duration of readings (mins): ,10
Date,Time,Data 1,Data 2
20.09.2022,10:24:26,23.059063727995152,22.70493627200485
20.09.2022,10:24:28,13.354635917756077,32.117164082243924
20.09.2022,10:24:30,13.156334396779428,32.12066560322057
20.09.2022,10:24:32,12.759413034292834,32.127986965707166
20.09.2022,10:24:34,12.452888627688345,32.14231137231165
20.09.2022,10:24:36,11.977666473286952,32.130533526713045
20.09.2022,10:24:38,11.770451987341382,32.14294801265862
20.09.2022,10:24:40,11.352203167021301,32.17159683297871
20.09.2022,10:24:42,11.234430666968969,32.19196933303103
20.09.2022,10:24:44,10.853743636314839,32.18305636368516
