Time between readings(sec): ,60
Duration of readings (mins): ,10
Date,Time,Data 1,Data 2
20.09.2022,10:44:04,14.625234624038264,32.98936537596173
20.09.2022,10:44:06,14.141736179142562,32.98586382085743
20.09.2022,10:44:08,13.550333068796405,32.992866931203594
20.09.2022,10:44:10,12.965614745585775,32.99318525441422
20.09.2022,10:44:12,12.213153891315287,32.96644610868471
20.09.2022,10:44:14,12.393954508608616,32.883045491391385
20.09.2022,10:44:16,12.364993888168058,32.81460611183195
20.09.2022,10:44:18,12.160644210454095,32.8241557895459
20.09.2022,10:44:20,11.89391001541756,32.79868998458244
20.09.2022,10:44:22,11.938793478952682,32.753806521047316
