Time between readings(sec): ,5
Duration of readings (mins): ,0.5
Date,Time,PM1.0 (ug/m3),PM2.5 (ug/m3),PM10 (ug/m3)
20.09.2022,14:42:00,1.0,1.0,8.0
20.09.2022,14:42:04,1.0,2.0,12.0
20.09.2022,14:42:10,1.0,2.0,10.0
20.09.2022,14:42:16,0.0,2.0,8.0
20.09.2022,14:42:20,0.0,2.0,7.0
20.09.2022,14:42:25,1.0,2.0,9.0
