Time between readings(sec): ,5
Duration of readings (mins): ,0.5
Date,Time,Temperature (*C)
20.09.2022,13:49:10,23.43
20.09.2022,13:49:15,23.53
20.09.2022,13:49:20,23.74
20.09.2022,13:49:24,23.94
20.09.2022,13:49:29,24.12
20.09.2022,13:49:34,24.07
