Time between readings(sec): ,60
Duration of readings (mins): ,10
Date,Time,Data 1,Data 2
20.09.2022,10:36:20,24.42266372799515,22.70493627200485
20.09.2022,10:36:22,14.844927220562091,31.990472779437916
20.09.2022,10:36:24,14.244929557324348,32.00607044267565
20.09.2022,10:36:26,13.945089884538547,32.01371011546146
20.09.2022,10:36:28,13.33681590286227,32.03758409713773
20.09.2022,10:36:30,12.905515999527942,32.07928400047206
20.09.2022,10:36:32,12.50413816070165,32.09106183929835
20.09.2022,10:36:34,12.34848558362161,32.14931441637839
20.09.2022,10:36:36,11.891083355795274,32.21711664420472
20.09.2022,10:36:38,11.925774207151441,32.279825792848555
