Time between readings(sec): ,5
Duration of readings (mins): ,0.5
Date,Time,Light (lux)
20.09.2022,14:12:03,45.57
20.09.2022,14:12:07,45.57
20.09.2022,14:12:12,45.57
20.09.2022,14:12:18,45.57
20.09.2022,14:12:23,45.57
20.09.2022,14:12:28,45.57
